|   Term |   Total pay |   Interest pay |
|--------+-------------+----------------|
|      1 |    1.3695   |     0.677833   |
|      2 |    1.36668  |     0.675009   |
|      3 |    1.36385  |     0.672185   |
|      4 |    1.36103  |     0.66936    |
|      5 |    1.3582   |     0.666536   |
|      6 |    1.35538  |     0.663712   |
|      7 |    1.35255  |     0.660888   |
|      8 |    1.34973  |     0.658063   |
|      9 |    1.34691  |     0.655239   |
|     10 |    1.34408  |     0.652415   |
|     11 |    1.34126  |     0.64959    |
|     12 |    1.33843  |     0.646766   |
|     13 |    1.33561  |     0.643942   |
|     14 |    1.33278  |     0.641117   |
|     15 |    1.32996  |     0.638293   |
|     16 |    1.32714  |     0.635469   |
|     17 |    1.32431  |     0.632644   |
|     18 |    1.32149  |     0.62982    |
|     19 |    1.31866  |     0.626996   |
|     20 |    1.31584  |     0.624172   |
|     21 |    1.31301  |     0.621347   |
|     22 |    1.31019  |     0.618523   |
|     23 |    1.30737  |     0.615699   |
|     24 |    1.30454  |     0.612874   |
|     25 |    1.30172  |     0.61005    |
|     26 |    1.29889  |     0.607226   |
|     27 |    1.29607  |     0.604401   |
|     28 |    1.29324  |     0.601577   |
|     29 |    1.29042  |     0.598753   |
|     30 |    1.2876   |     0.595928   |
|     31 |    1.28477  |     0.593104   |
|     32 |    1.28195  |     0.59028    |
|     33 |    1.27912  |     0.587456   |
|     34 |    1.2763   |     0.584631   |
|     35 |    1.27347  |     0.581807   |
|     36 |    1.27065  |     0.578983   |
|     37 |    1.26782  |     0.576158   |
|     38 |    1.265    |     0.573334   |
|     39 |    1.26218  |     0.57051    |
|     40 |    1.25935  |     0.567685   |
|     41 |    1.25653  |     0.564861   |
|     42 |    1.2537   |     0.562037   |
|     43 |    1.25088  |     0.559213   |
|     44 |    1.24805  |     0.556388   |
|     45 |    1.24523  |     0.553564   |
|     46 |    1.24241  |     0.55074    |
|     47 |    1.23958  |     0.547915   |
|     48 |    1.23676  |     0.545091   |
|     49 |    1.23393  |     0.542267   |
|     50 |    1.23111  |     0.539442   |
|     51 |    1.22828  |     0.536618   |
|     52 |    1.22546  |     0.533794   |
|     53 |    1.22264  |     0.530969   |
|     54 |    1.21981  |     0.528145   |
|     55 |    1.21699  |     0.525321   |
|     56 |    1.21416  |     0.522497   |
|     57 |    1.21134  |     0.519672   |
|     58 |    1.20851  |     0.516848   |
|     59 |    1.20569  |     0.514024   |
|     60 |    1.20287  |     0.511199   |
|     61 |    1.20004  |     0.508375   |
|     62 |    1.19722  |     0.505551   |
|     63 |    1.19439  |     0.502726   |
|     64 |    1.19157  |     0.499902   |
|     65 |    1.18874  |     0.497078   |
|     66 |    1.18592  |     0.494253   |
|     67 |    1.1831   |     0.491429   |
